feature,l1_importance,perm_importance,stability
cos_total_variation,0.7568167659339375,0.07675361043141135,1.0
cos_mid_mean,0.3869034722166834,0.02521890713496163,1.0
final_entropy,0.30653686951619874,0.0182092812826058,1.0
cos_std,0.30873777219613113,0.015955416469530664,0.4
cos_q50,0.25455559475820105,0.011184916545294845,0.4
cos_q10,0.21803763277970195,0.009790529287427824,0.2
cos_autocorr_lag2,0.1874379291582352,0.003496888373331921,0.0
cos_autocorr_lag3,0.2077462857938802,0.003265199312044653,0.0
cos_early_mean,0.1271218446227093,0.0032294424850873417,0.0
cos_mean,0.1047579816772908,0.0021999872357266305,0.0
cos_max,0.04126369576489068,0.000283566317564885,0.0
cos_iqr,0.0,0.0,0.0
cos_late_mean,0.0,0.0,0.0
cos_late_minus_early,0.0,0.0,0.0
cos_q90,0.040874717343259356,-0.0005172789949766688,0.0
cos_autocorr_lag1,0.04848351666813675,-0.0010337204033364935,0.0
cos_sign_change_count,0.12291200636199992,-0.0017644570440144493,0.0
